time,cumm_vehicles_left,cumm_vehicles_right,density_left,density_right,vehicles_left,vehicles_right
879.9200000000001,2054,1993,0.17918099406064392,0.20514543391267992,1008,999
879.96,2054,1994,0.18441179535271435,0.23030520217404293,1046,995
880.0,2054,1994,0.1916223819943732,0.24389297019650003,1008,999
880.04,2054,1994,0.19389392518495363,0.23595681777459232,1046,995
880.08,2054,1994,0.1964780660623111,0.2017036970674312,1008,999
880.12,2054,1994,0.19841617172032922,0.15908887296183483,1046,995
880.16,2054,1994,0.21220520301483103,0.11910201278146093,1008,999
880.2,2054,1994,0.194005071029141,0.1250522606462402,1046,995
880.24,2054,1994,0.1803966517314438,0.13181628143104585,1008,999
880.28,2054,1994,0.1788545031433434,0.14964462760556652,1046,995
880.32,2054,1994,0.17146330450488,0.15761064325389718,1008,999
880.36,2054,1994,0.16591295891077074,0.16937675446455236,1046,995
880.4,2054,1994,0.16425271786322115,0.18724989547870752,1008,999
880.44,2054,1994,0.1504775797992428,0.1976124350474825,1046,995
880.48,2054,1994,0.17235247125837938,0.1771710565609509,1008,999
880.52,2054,1994,0.18587753117293604,0.16761482410559636,1046,995
880.5600000000001,2054,1995,0.198568997256087,0.18025443468912383,1008,1000
880.6,2054,1995,0.21599805494772673,0.19302096398494895,1046,995
880.64,2054,1995,0.23148206036608665,0.21262617213163715,1008,1000
880.6800000000001,2054,1995,0.2381091313257615,0.2356283222839396,1046,995
880.72,2054,1996,0.23345489910041328,0.2567042943319596,1008,1001
880.76,2054,1996,0.22279879128894442,0.2483351251269187,1046,995
880.8000000000001,2055,1996,0.21833211767566252,0.20994594756017437,1009,1001
880.84,2055,1996,0.2089125073807787,0.1580884548766649,1046,995
880.88,2055,1996,0.20315376332881807,0.15665502000836173,1009,1001
880.9200000000001,2055,1996,0.1958528706887569,0.15278026637997966,1046,995
880.96,2055,1996,0.18518981626202635,0.16341157498656156,1009,1001
881.0,2055,1996,0.17820152130874234,0.1745281610225169,1046,995
881.04,2055,1996,0.17939633913375708,0.1568939258197456,1009,1001
881.08,2055,1997,0.17788892362196518,0.15100340440781224,1046,996
881.12,2055,1997,0.18809350144142267,0.14853222242131037,1009,1001
881.16,2055,1997,0.18971206279740194,0.16453144597742342,1046,996
881.2,2055,1997,0.20038901045465596,0.17791017141491972,1009,1001
881.24,2055,1997,0.21145496856656598,0.14629994624619247,1046,996
881.28,2055,1998,0.21473377097009483,0.14297019650002984,1009,1002
881.32,2055,1998,0.20341078809350144,0.12549274323597925,1046,996
881.36,2055,1998,0.19838838525928237,0.1244325986979633,1009,1002
881.4,2055,1998,0.19192803306588868,0.12780714328376042,1046,996
881.44,2055,1998,0.18494668472786635,0.12441020127814606,1009,1002
881.48,2055,1998,0.20042374353096448,0.10317744729140532,1046,996
881.52,2055,1998,0.20608523496926123,0.08468464432897327,1009,1002
881.5600000000001,2056,1998,0.2082873120072245,0.08458758884309858,1047,996
881.6,2056,1998,0.2102740439720746,0.08820103924027956,1009,1002
881.64,2056,1998,0.2111979438018825,0.09100818252403986,1047,996
881.6800000000001,2056,1998,0.22816852488624917,0.09444245356268288,1009,1002
881.72,2056,1998,0.22343093327776042,0.09713760974735708,1047,996
881.76,2056,1998,0.22259039283109305,0.09655527683210896,1009,1002
881.8000000000001,2056,1998,0.22540377201208706,0.09802604073344079,1047,996
881.84,2057,1998,0.22231252822062453,0.09685390909633873,1010,1002
881.88,2057,1999,0.22048556840679379,0.10184853371558267,1047,997
881.9200000000001,2057,1999,0.23489979507484982,0.10994146807621097,1010,1002
881.96,2057,1999,0.25124518078566216,0.11864659857851045,1047,997
882.0,2058,1999,0.2501615088048349,0.10211730275338948,1011,1002
882.04,2058,1999,0.2577958389774583,0.09330018515200378,1047,997
882.08,2058,1999,0.27680872494876874,0.07197037567938835,1011,1002
882.12,2058,1999,0.264839706852836,0.06484053037090132,1047,997
882.16,2058,1999,0.2584140877357508,0.06487785940392998,1011,1002
882.2,2058,1999,0.2535584036678129,0.06464641939915183,1047,997
882.24,2058,1999,0.24718141085755962,0.06501970972943916,1011,1002
